10300,Vinh Quang,Xã,"22 05 40N, 105 17 39E",199,60
9841,Tri Phú,Xã,"22 01 27N, 105 22 18E",199,60
6243,Nhân Lý,Xã,"22 03 35N, 105 14 43E",199,60
11001,Yên Nguyên,Xã,"22 03 19N, 105 10 22E",199,60
4928,Linh Phú,Xã,"22 00 40N, 105 26 09E",199,60
1662,Bình Nhân,Xã,"22 02 32N, 105 17 14E",199,60
8445,Tân Yên,Thị Trấn,"22 02 28N, 104 57 50E",251,60
11077,Yên Thuận,Xã,"22 17 47N, 104 56 57E",251,60
1932,Bạch Xa,Xã,"22 14 58N, 104 55 21E",251,60
5355,Minh Khương,Xã,"22 12 58N, 104 57 29E",251,60
10958,Yên Lâm,Xã,"22 09 02N, 104 54 09E",251,60
5336,Minh Dân,Xã,"22 11 26N, 104 59 19E",251,60
6589,Phù Lưu,Xã,"22 10 51N, 105 03 05E",251,60
5339,Minh Hương,Xã,"22 07 49N, 105 06 23E",251,60
11019,Yên Phú,Xã,"22 06 28N, 104 58 34E",251,60
8318,Tân Thành,Xã,"22 05 54N, 105 03 24E",251,60
1767,Bình Xa,Xã,"22 03 26N, 105 07 27E",251,60
8716,Thái Sơn,Xã,"22 01 26N, 105 05 42E",251,60
6245,Nhân Mục,Xã,"22 01 21N, 105 00 42E",251,60
8767,Thành Long,Xã,"21 58 41N, 105 02 58E",251,60
1510,Bằng Cốc,Xã,"21 58 34N, 105 00 38E",251,60
8703,Thái Hòa,Xã,"21 58 35N, 105 06 41E",251,60
812,Đức Ninh,Xã,"21 56 34N, 105 07 22E",251,60
3568,Hùng Đức,Xã,"21 53 31N, 105 03 55E",251,60
7944,Tân Bình,Thị Trấn,"21 41 55N, 105 14 00E",694,60
7560,Quí Quân,Xã,"22 01 26N, 105 13 58E",694,60
5134,Lực Hành,Xã,"22 01 04N, 105 11 33E",694,60
4482,Kiến Thiết,Xã,"21 58 22N, 105 19 23E",694,60
9968,Trung Minh,Xã,"21 58 04N, 105 30 27E",694,60
2558,Chiêu Yên,Xã,"21 59 09N, 105 09 40E",694,60
10013,Trung Trực,Xã,"21 57 22N, 105 16 50E",694,60
10866,Xuân Vân,Xã,"21 57 11N, 105 13 53E",694,60
7075,Phúc Ninh,Xã,"21 56 24N, 105 11 05E",694,60
3578,Hùng Lợi,Xã,"21 54 10N, 105 28 47E",694,60
9981,Trung Sơn,Xã,"21 54 20N, 105 24 47E",694,60
8398,Tân Tiến,Xã,"21 53 37N, 105 17 24E",694,60
9630,Tứ Quận,Xã,"21 53 50N, 105 07 51E",694,60
461,Đạo Viện,Xã,"21 52 51N, 105 20 59E",694,60
8161,Tân Long,Xã,"21 53 02N, 105 13 12E",694,60
8806,Thắng Quân,Xã,"21 52 38N, 105 09 53E",694,60
4438,Kim Quan,Xã,"21 51 29N, 105 26 05E",694,60
4755,Lang Quán,Xã,"20 50 49N, 105 06 31E",694,60
7003,Phú Thịnh,Xã,"21 50 17N, 105 17 39E",694,60
2138,Công Đa,Xã,"21 49 38N, 105 21 45E",694,60
9966,Trung Môn,Xã,"21 49 49N, 105 10 04E",694,60
2457,Chân Sơn,Xã,"21 49 01N, 105 07 44E",694,60
8681,Thái Bình,Xã,"21 48 41N, 105 15 03E",694,60
4437,Kim Phú,Xã,"21 46 58N, 105 10 10E",694,60
9570,Tiến Bộ,Xã,"21 46 23N, 105 20 02E",694,60
1319,An Khang,Xã,"21 46 51N, 105 15 31E",636,60
5464,Mỹ Bằng,Xã,"21 45 55N, 105 05 18E",694,60
6866,Phú Lâm,Xã,"21 45 49N, 105 07 47E",694,60
1426,An Tường,Xã,"21 46 39N, 105 12 37E",636,60
4923,Lưỡng Vượng,Xã,"21 46 29N, 105 13 29E",636,60
3941,Hoàng Khai,Xã,"21 45 30N, 105 11 21E",694,60
8706,Thái Long,Xã,"21 44 26N, 105 13 20E",636,60
649,Đội Cấn,Xã,"21 43 25N, 105 13 19E",636,60
6226,Nhữ Hán,Xã,"21 43 17N, 105 07 05E",694,60
